domain,version,metric,F,value
ecommerce,V2_AuditOnly,detection,F1,0.1556
ecommerce,V2_AuditOnly,detection,F2,0.0083
ecommerce,V2_AuditOnly,detection,F3,1.0000
ecommerce,V2_AuditOnly,detection,F4,1.0000
ecommerce,V2_AuditOnly,benign_far,F0+F5,0.0133
ecommerce,V3_NoStructural,detection,F1,0.1556
ecommerce,V3_NoStructural,detection,F2,0.0083
ecommerce,V3_NoStructural,detection,F3,1.0000
ecommerce,V3_NoStructural,detection,F4,1.0000
ecommerce,V3_NoStructural,benign_far,F0+F5,0.0133
ecommerce,V3_Intervention,detection,F1,0.4522
ecommerce,V3_Intervention,detection,F2,1.0000
ecommerce,V3_Intervention,detection,F3,1.0000
ecommerce,V3_Intervention,detection,F4,1.0000
ecommerce,V3_Intervention,benign_far,F0+F5,0.0133
reference,V2_AuditOnly,detection,F1,0.1022
reference,V2_AuditOnly,detection,F2,0.5333
reference,V2_AuditOnly,detection,F3,0.4967
reference,V2_AuditOnly,detection,F4,0.1800
reference,V2_AuditOnly,benign_far,F0+F5,0.0711
reference,V3_NoStructural,detection,F1,0.1022
reference,V3_NoStructural,detection,F2,0.5333
reference,V3_NoStructural,detection,F3,0.4967
reference,V3_NoStructural,detection,F4,0.1800
reference,V3_NoStructural,benign_far,F0+F5,0.0711
reference,V3_Intervention,detection,F1,0.1022
reference,V3_Intervention,detection,F2,0.5333
reference,V3_Intervention,detection,F3,0.4967
reference,V3_Intervention,detection,F4,0.1800
reference,V3_Intervention,benign_far,F0+F5,0.0711
