domain,version,metric,F,value
ecommerce,V2_AuditOnly,detection,F1,0.1567
ecommerce,V2_AuditOnly,detection,F2,0.0200
ecommerce,V2_AuditOnly,detection,F3,1.0000
ecommerce,V2_AuditOnly,detection,F4,1.0000
ecommerce,V2_AuditOnly,benign_far,F0+F5,0.0100
ecommerce,V3_NoStructural,detection,F1,0.1567
ecommerce,V3_NoStructural,detection,F2,0.0200
ecommerce,V3_NoStructural,detection,F3,1.0000
ecommerce,V3_NoStructural,detection,F4,1.0000
ecommerce,V3_NoStructural,benign_far,F0+F5,0.0100
ecommerce,V3_Intervention,detection,F1,0.4533
ecommerce,V3_Intervention,detection,F2,1.0000
ecommerce,V3_Intervention,detection,F3,1.0000
ecommerce,V3_Intervention,detection,F4,1.0000
ecommerce,V3_Intervention,benign_far,F0+F5,0.0100
reference,V2_AuditOnly,detection,F1,0.0733
reference,V2_AuditOnly,detection,F2,0.5800
reference,V2_AuditOnly,detection,F3,0.5600
reference,V2_AuditOnly,detection,F4,0.1400
reference,V2_AuditOnly,benign_far,F0+F5,0.1133
reference,V3_NoStructural,detection,F1,0.0733
reference,V3_NoStructural,detection,F2,0.5800
reference,V3_NoStructural,detection,F3,0.5600
reference,V3_NoStructural,detection,F4,0.1400
reference,V3_NoStructural,benign_far,F0+F5,0.1133
reference,V3_Intervention,detection,F1,0.0733
reference,V3_Intervention,detection,F2,0.5800
reference,V3_Intervention,detection,F3,0.5600
reference,V3_Intervention,detection,F4,0.1400
reference,V3_Intervention,benign_far,F0+F5,0.1133
